wiki_page,sentence,cause,effect,ChatGPT_label,GPT4_label
Statistical finance,within the subject the description of financial markets blindly in terms of models of statistical physics has been argued as flawed **BECAUSE** it has transpired these do not fully correspond to what we now know about real finance markets,Real finance markets have been studied and found to not fully correspond to the models of statistical physics. 6 , The subject has been argued as flawed,1,1.0
Financial crisis," ##THEREFORE###, financial crises are sometimes viewed as a vicious circle in which investors shun some institution or asset **BECAUSE** they expect others to do so",investors expect others to shun the same institution or asset , investors shun some institution or asset,1,1.0
Financial crisis,many analyses of financial crises emphasize the role of investment mistakes **CAUSED BY** lack of knowledge or the imperfections of human reasoning,lack of knowledge , investment mistakes,1,1.0
Financial crisis," reinhart and rogoff also class debasement of currency and hyperinflation as being forms of financial crisis, broadly speaking, **BECAUSE** they lead to unilateral reduction (repudiation) of debt",unilateral reduction (repudiation) of debt , hyperinflation,1,0.0
Henry George, george said that these services would be provided for free **BECAUSE** investments in beneficial public goods always tend to increase land values by more than the total cost of those investments,Investments in beneficial public goods always tend to increase land values by more than the total cost of those investments , George said that these services would be provided for free,1,1.0
Syndicated loan,"in europe, banks have historically dominated the debt markets **BECAUSE** of the intrinsically regional nature of the arena",The arena of debt markets has been intrinsically regional , Banks have historically dominated the debt markets,1,1.0
Syndicated loan,"in europe, banks have historically dominated the debt markets **BECAUSE** of the intrinsically regional nature of the arena",The arena of debt markets has been intrinsically regional , There has been a historical dominance of banks in debt markets,1,1.0
Syndicated loan,"in europe, banks have historically dominated the debt markets **BECAUSE** of the intrinsically regional nature of the arena",The arena of debt markets has been intrinsically regional , The debt markets have been regional in nature,1,1.0
Syndicated loan,"in europe, banks have historically dominated the debt markets **BECAUSE** of the intrinsically regional nature of the arena",The arena of debt markets has been intrinsically regional , Banks have been active in debt markets,1,1.0
Syndicated loan,"in europe, banks have historically dominated the debt markets **BECAUSE** of the intrinsically regional nature of the arena",The arena of debt markets has been intrinsically regional , The debt markets have been dominated by banks,1,1.0
Syndicated loan,"in europe, banks have historically dominated the debt markets **BECAUSE** of the intrinsically regional nature of the arena",The ar , There has been a historical dominance of banks in debt markets,1,1.0
Syndicated loan," second, underwritten loans usually require more lucrative fees **BECAUSE** the agent is on the hook if potential lenders balk",The agent is on the hook if potential lenders balk , The agent has more lucrative fees,1,1.0
Syndicated loan," second, underwritten loans usually require more lucrative fees **BECAUSE** the agent is on the hook if potential lenders balk",The agent has underwritten loans , The agent has more lucrative fees,1,1.0
Syndicated loan," second, underwritten loans usually require more lucrative fees **BECAUSE** the agent is on the hook if potential lenders balk",The agent has potential lenders , The agent has more lucrative fees,1,1.0
Syndicated loan," second, underwritten loans usually require more lucrative fees **BECAUSE** the agent is on the hook if potential lenders balk",The agent underwrites loans , The agent has more lucrative fees,1,1.0
Syndicated loan," in jurisdictions where the trust is not recognised, it is often addressed by parallel debt provisions stating that the amount outstanding is deemed to be **OWING TO**the security trustee but will be reduced by any amounts actually received by the syndicate members",The amount outstanding will be reduced by any amounts actually received by the syndicate members , The amount outstanding is deemed to be **OWING TO**the security trustee,1,0.0
Syndicated loan," while quarterly redemption funds and closed-end funds remained the standard **BECAUSE** the secondary loan market does not offer the rich liquidity that is supportive of open-end funds, the open-end funds had sufficiently raised their profile that by mid-2008 they accounted for 15-20% of the loan assets held by mutual funds",The secondary loan market did not offer rich liquidity , The standard was remained,1,1.0
John Kenneth Galbraith," the postwar period also was memorable for galbraith **BECAUSE** of his work, along with eleanor roosevelt and hubert humphrey, to establish a progressive policy organization americans for democratic action (ada) in support of the cause of economic and social justice in 1947",Galbraith worked with Eleanor Roosevelt and Hubert Humphrey , The postwar period was memorable for Galbraith,1,1.0
John Kenneth Galbraith," the postwar period also was memorable for galbraith **BECAUSE** of his work, along with eleanor roosevelt and hubert humphrey, to establish a progressive policy organization americans for democratic action (ada) in support of the cause of economic and social justice in 1947",They established a progressive policy organization Americans for Democratic Action (ADA) , The postwar period was memorable for Galbraith,1,1.0
John Kenneth Galbraith," the postwar period also was memorable for galbraith **BECAUSE** of his work, along with eleanor roosevelt and hubert humphrey, to establish a progressive policy organization americans for democratic action (ada) in support of the cause of economic and social justice in 1947",The cause of economic and social justice was supported in , The postwar period was memorable for Galbraith,1,1.0
John Kenneth Galbraith,"india was considered by kennedy to be important not just in its own right, but also **BECAUSE** an indian diplomat always served as the chief commissioner of the international control commission (icc), and ##THUS## in this way, galbraith came to be involved in american policy towards southeast asia from his perch as an ambassador in new delhi",An Indian diplomat always served as the chief commissioner of the International Control Commission (ICC) , India was considered by Kennedy to be important not just in its own right,1,1.0
John Kenneth Galbraith," in 1961, when kennedy considered intervening in the civil war in laos, galbraith strongly advised him not to, warning him that the disaster of the bay of pigs invasion had been **CAUSED BY** kennedy taking the advice offered by the hawkish joint chiefs of staff who had assured him that the invasion could not fail and were now saying the same about the proposed intervention in laos",The disaster of the Bay of Pigs invasion was **CAUSED BY** Kennedy taking the advice offered by the hawkish Joint Chiefs of Staff , Galbraith strongly advised Kennedy not to intervene in the civil war in Laos,1,1.0
John Kenneth Galbraith," in 1961, when kennedy considered intervening in the civil war in laos, galbraith strongly advised him not to, warning him that the disaster of the bay of pigs invasion had been **CAUSED BY** kennedy taking the advice offered by the hawkish joint chiefs of staff who had assured him that the invasion could not fail and were now saying the same about the proposed intervention in laos",The hawkish Joint Chiefs of Staff assured Kennedy that the invasion could not fail , Kennedy considered intervening in the civil war in Laos,1,0.0
John Kenneth Galbraith," schlesinger strongly urged galbraith to support kennedy, but galbraith chose to continue to campaign for mccarthy, partly **BECAUSE** mccarthy's liberalism was closer to his own politics, and partly out of a personal revulsion for kennedy, who had only opportunistically entered the presidential race when it became clear that johnson was not  invincible",Galbraith had personal revulsion for Kennedy , Galbraith chose to continue to campaign for McCarthy,1,1.0
John Kenneth Galbraith," schlesinger strongly urged galbraith to support kennedy, but galbraith chose to continue to campaign for mccarthy, partly **BECAUSE** mccarthy's liberalism was closer to his own politics, and partly out of a personal revulsion for kennedy, who had only opportunistically entered the presidential race when it became clear that johnson was not  invincible",Kennedy had opportunistically entered the presidential race , Galbraith chose to continue to campaign for McCarthy,1,1.0
Circular flow of income," this is a leakage **BECAUSE** it is a leakage out of the current income, ##THUS## reducing the expenditure on current goods and services",The company has a leakage , The company's expenditure on current goods and services is reduced,1,1.0
Circular flow of income," this is a leakage **BECAUSE** it is a leakage out of the current income, ##THUS## reducing the expenditure on current goods and services",The company's income is not enough to cover its expenditure , The company's expenditure on current goods and services is reduced,1,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,community of people within a certain domain of specialization have expertise , new words are brought into play,1,1.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,community of people within a certain domain of specialization have expertise , certain lexical additions exist,1,1.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,community of people within a certain domain of specialization have expertise , new words exist,1,1.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,community of people within a certain domain of specialization have expertise , certain lexical additions are introduced,1,1.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,community of people within a certain domain of specialization have expertise , certain,1,1.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization exists , lexical additions are brought into play,1,1.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization exists , new words are brought into play,1,1.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization exists , certain lexical additions exist,1,1.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization exists , new words exist,1,1.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization exists , certain lexical additions are introduced,1,1.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization has expertise , new words exist,1,1.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization has expertise , certain lexical additions are introduced,1,1.0
Linguistics, linguistics is essentially seen as relating to social and cultural studies **BECAUSE** different languages are shaped in social interaction by the speech community,Different languages are shaped in social interaction by the speech community , Linguistics is essentially seen as relating to social and cultural studies,1,1.0
Linguistics," for example, the article ""the"" is followed by a noun, **BECAUSE** of the syntagmatic relation between the words",The syntagmatic relation between the words ," The article ""the"" is followed by a noun",1,1.0
Linguistics," for example, the article ""the"" is followed by a noun, **BECAUSE** of the syntagmatic relation between the words",The syntagmatic relation between the words ," The noun is followed by the article ""the""",1,1.0
Linguistics," for example, the article ""the"" is followed by a noun, **BECAUSE** of the syntagmatic relation between the words","The word ""the"" is a determiner in the syntagmatic relation "," The article ""the"" is followed by a noun",1,1.0
Linguistics," for example, the article ""the"" is followed by a noun, **BECAUSE** of the syntagmatic relation between the words","The word ""the"" is a determiner in the syntagmatic relation "," The noun is followed by the article ""the""",1,0.0
Linguistics," for example, the article ""the"" is followed by a noun, **BECAUSE** of the syntagmatic relation between the words","The word ""the"" is a determiner in the syntagmatic relation "," The word ""the"" is a determiner",1,1.0
Linguistics," for example, the article ""the"" is followed by a noun, **BECAUSE** of the syntagmatic relation between the words","The word ""the"" "," The word ""the"" is a determiner",1,0.0
Nicholas Georgescu-Roegen,: 71  : 695  : 106–109 georgescu-roegen's work was blemished somewhat by mistakes **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,Georgescu-Roegen had an insufficient understanding of the physical science of thermodynamics , Georgescu-Roegen's work was blemished,1,1.0
Nicholas Georgescu-Roegen,: 71  : 695  : 106–109 georgescu-roegen's work was blemished somewhat by mistakes **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,Georgescu-Roegen had an insufficient understanding of the physical science of thermodynamics , Georgescu-Roegen had some mistakes,1,1.0
Nicholas Georgescu-Roegen,: 71  : 695  : 106–109 georgescu-roegen's work was blemished somewhat by mistakes **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,Georgescu-Roegen had an insufficient understanding of the physical science of thermodynamics , Georgescu-Roegen's work was blemished somewhat. 6,1,1.0
Nicholas Georgescu-Roegen,: 71  : 695  : 106–109 georgescu-roegen's work was blemished somewhat by mistakes **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,Georgescu-Roegen's work was blemished , Georgescu-Roegen's work was **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,1,0.0
Nicholas Georgescu-Roegen,: 71  : 695  : 106–109 georgescu-roegen's work was blemished somewhat by mistakes **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,Georgescu-Roegen had some mistakes , Georgescu-Roegen had an insufficient understanding of the physical science of thermodynamics,1,0.0
Nicholas Georgescu-Roegen,: 71  : 695  : 106–109 georgescu-roegen's work was blemished somewhat by mistakes **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,Georgescu-Roegen had some mistakes , Georgescu-Roegen's work was **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,1,0.0
Nicholas Georgescu-Roegen,: 71  : 695  : 106–109 georgescu-roegen's work was blemished somewhat by mistakes **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,Georgescu-Roegen's work was blemished somewhat. 6 , Georgescu-Roegen's work was **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,1,0.0
Nicholas Georgescu-Roegen, population pressure and technological progress bring ceteris paribus the career of the human species nearer to its end only **BECAUSE** both factors cause a speedier decumulation of its dowry [of mineral resources],Population pressure causes a speedier decumulation of its dowry , The career of the human species is nearer to its end,1,1.0
Nicholas Georgescu-Roegen, population pressure and technological progress bring ceteris paribus the career of the human species nearer to its end only **BECAUSE** both factors cause a speedier decumulation of its dowry [of mineral resources],Technological progress causes a speedier decumulation of its dowry , The career of the human species is nearer to its end,1,1.0
Nicholas Georgescu-Roegen,georgescu-roegen's work was blemished somewhat by mistakes **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,Georgescu-Roegen's work was blemished , Georgescu-Roegen's work was **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,1,0.0
Nicholas Georgescu-Roegen,georgescu-roegen's work was blemished somewhat by mistakes **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,Georgescu-Roegen's work was blemished somewhat , Georgescu-Roegen's work was **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,1,0.0
NAIRU, critics of this analysis (such as milton friedman and edmund phelps) argued that the phillips curve could not be a fundamental characteristic of economic general equilibrium **BECAUSE** it showed a correlation between a real economic variable (the unemployment rate) and a nominal economic variable (the inflation rate),The Phillips curve showed a correlation between a real economic variable (the unemployment rate) and a nominal economic variable (the inflation rate) , The Phillips curve could not be a fundamental characteristic of economic general equilibrium,1,1.0
NAIRU, critics of this analysis (such as milton friedman and edmund phelps) argued that the phillips curve could not be a fundamental characteristic of economic general equilibrium **BECAUSE** it showed a correlation between a real economic variable (the unemployment rate) and a nominal economic variable (the inflation rate),The Phillips curve showed a correlation between a real economic variable (the unemployment rate) and a nominal economic variable (the inflation rate) , The critics of the analysis argued that the Phillips curve could not be a fundamental characteristic of economic general equilibrium,1,1.0
Gunnar Myrdal,"  he characterized the problem of race relations as a dilemma **BECAUSE** of a perceived conflict between high ideals, embodied in what he called the ""american creed,"" on the one hand and poor performance on the other","There is a perceived conflict between high ideals, embodied in what he called the ""American Creed,"" on the one hand and poor performance on the other ", He characterized the problem of race relations as a dilemma,1,1.0
Gunnar Myrdal,"  he characterized the problem of race relations as a dilemma **BECAUSE** of a perceived conflict between high ideals, embodied in what he called the ""american creed,"" on the one hand and poor performance on the other",There is a conflict between high ideals and poor performance , He characterized the problem of race relations as a dilemma,1,1.0
Gunnar Myrdal,"  he characterized the problem of race relations as a dilemma **BECAUSE** of a perceived conflict between high ideals, embodied in what he called the ""american creed,"" on the one hand and poor performance on the other",There is a conflict between high ideals and poor performance , The problem of race relations is a dilemma,1,1.0
Base erosion and profit shifting," refused to sign up to the oecd's mli, or any of its actions, was **BECAUSE**: ""the u",The U.S. had some actions , The U.S. refused to sign up to the OECD's MLI,1,1.0
Base erosion and profit shifting," refused to sign up to the oecd's mli, or any of its actions, was **BECAUSE**: ""the u",The U.S. had some actions , The U.S. refused to sign up to any of the OECD's Actions,1,1.0
Base erosion and profit shifting," refused to sign up to the oecd's mli, or any of its actions, was **BECAUSE**: ""the u",The U.S. had some states , The U.S. refused to sign up to the OECD's MLI,1,0.0
Fixed exchange rate system," the line has slope= -1 is **BECAUSE** the larger symmetry benefits are, the less pronounced integration benefits have to be and vice versa",The less pronounced integration benefits have to be , The line has slope = -,1,1.0
Karl Marx," as she had broken off her engagement with a young aristocrat to be with marx, their relationship was socially controversial **OWING TO**the differences between their religious and class origins, but marx befriended her father ludwig von westphalen (a liberal aristocrat) and later dedicated his doctoral thesis to him",She broke off her engagement with a young aristocrat , Marx befriended her father Ludwig von Westphalen,1,0.0
Karl Marx," as she had broken off her engagement with a young aristocrat to be with marx, their relationship was socially controversial **OWING TO**the differences between their religious and class origins, but marx befriended her father ludwig von westphalen (a liberal aristocrat) and later dedicated his doctoral thesis to him",Their relationship was socially controversial , Marx befriended her father Ludwig von Westphalen,1,0.0
Karl Marx," marx acknowledges that hegel ""grasps the nature of work and comprehends objective man, authentic **BECAUSE** actual, as the result of his own work"", but characterises hegelian self-development as unduly ""spiritual"" and abstract","Marx characterises Hegelian self-development as unduly ""spiritual"" and abstract ", Marx acknowledges that Hegel grasps the nature of work,1,0.0
Karl Marx, capitalism can stimulate considerable growth **BECAUSE** the capitalist has an incentive to reinvest profits in new technologies and capital equipment,The capitalist has an incentive to reinvest profits in new technologies and capital equipment , The capitalist stimulates considerable growth,1,1.0
Karl Marx, capitalism can stimulate considerable growth **BECAUSE** the capitalist has an incentive to reinvest profits in new technologies and capital equipment,The capitalist has profits , The capitalist stimulates considerable growth,1,1.0
Karl Marx, capitalism can stimulate considerable growth **BECAUSE** the capitalist has an incentive to reinvest profits in new technologies and capital equipment,The capitalist reinvest profits , The capitalist stimulates considerable growth,1,1.0
Karl Marx, capitalism can stimulate considerable growth **BECAUSE** the capitalist has an incentive to reinvest profits in new technologies and capital equipment,The capitalist has new technologies , The capitalist stimulates considerable growth,1,1.0
Karl Marx, capitalism can stimulate considerable growth **BECAUSE** the capitalist has an incentive to reinvest profits in new technologies and capital equipment,The capitalist , The capitalist stimulates considerable growth,1,1.0
Karl Marx," the then-european commission president jean-claude juncker defended marx's memory, saying that today marx ""stands for things which he is not responsible for and which he didn't cause **BECAUSE** many of the things he wrote down were redrafted into the opposite""",Marx's writings were redrafted into the opposite , Marx is not responsible for things he did not cause,1,1.0
Production (economics), the portion of growth **CAUSED BY** the increase in inputs is shown on line 1 and does not change the relation between inputs and outputs,The relation between inputs and outputs does not change , The portion of growth **CAUSED BY** the increase in inputs,1,0.0
Production (economics), the portion of growth **CAUSED BY** an increase in productivity is shown on line 2 with a steeper slope,The increase in productivity exists , The portion of growth **CAUSED BY** an increase in productivity has a steeper slope,1,1.0
Production (economics), the portion of growth **CAUSED BY** an increase in productivity is shown on line 2 with a steeper slope,The increase in productivity exists , The portion of growth **CAUSED BY** an increase in productivity exists,1,1.0
Production (economics), the portion of growth **CAUSED BY** an increase in productivity is shown on line 2 with a steeper slope,The increase in productivity exists , The growth exists,1,1.0
Production (economics), the portion of growth **CAUSED BY** an increase in productivity is shown on line 2 with a steeper slope,The increase in productivity exists , The slope exists,1,1.0
Production (economics), the portion of growth **CAUSED BY** an increase in productivity is shown on line 2 with a steeper slope,The increase in productivity has a steeper slope , The portion of growth **CAUSED BY** an increase in productivity has a steeper slope,1,1.0
Production (economics), the income growth **CAUSED BY** increased production volume is determined by moving along the production function graph,The production volume increased , The income growth **CAUSED BY** increased production volume,1,1.0
Production (economics), the combination of volume increase and total productivity decrease leads in this case to the improved performance **BECAUSE** we are on the “diminishing returns” area of the production function,The combination of volume increase and total productivity decrease is on the “diminishing returns” area of the production function , The combination of volume increase and total productivity decrease leads to improved performance,1,1.0
Production (economics), the combination of volume increase and total productivity decrease leads in this case to the improved performance **BECAUSE** we are on the “diminishing returns” area of the production function,The improved performance is **BECAUSE** of the “diminishing returns” area of the production function , The combination of volume increase and total productivity decrease leads to improved performance,1,1.0
Production (economics),"we use here arithmetical models **BECAUSE** they are like the models of management accounting, illustrative and easily understood and applied in practice",The models of management accounting are illustrative and easily understood and applied in practice , The use of arithmetical models,1,1.0
Production (economics),"we use here arithmetical models **BECAUSE** they are like the models of management accounting, illustrative and easily understood and applied in practice",The models of management accounting are easily understood and applied in practice , The use of arithmetical models is illustrative,1,1.0
Production (economics)," this approach is called the dual approach **BECAUSE** the framework is seen in terms of prices instead of quantities (ons 3, 23)",The event is defined as the framework is seen in terms of prices instead of quantities , The sentence is defined as an event,1,0.0
Wayback Machine," the wayback machine cannot completely archive web pages that contain interactive features such as flash platforms and forms written in javascript and progressive web applications, **BECAUSE** those functions require interaction with the host website",No event exists , The Wayback Machine cannot completely archive web pages that contain interactive features such as Flash platforms and forms written in JavaScript and progressive web applications,1,0.0
Wayback Machine," the wayback machine cannot completely archive web pages that contain interactive features such as flash platforms and forms written in javascript and progressive web applications, **BECAUSE** those functions require interaction with the host website",No event exists , The Wayback Machine cannot archive web pages that contain interactive features such as Flash platforms and forms written in JavaScript and progressive web applications,1,0.0
Derivative (finance)," this distinction is important **BECAUSE** the former is a prudent aspect of operations and financial management for many firms across many industries; the latter offers managers and investors a risky opportunity to increase profit, which may not be properly disclosed to stakeholders",The former is a prudent aspect of operations and financial management , The distinction is important,1,1.0
Derivative (finance)," this distinction is important **BECAUSE** the former is a prudent aspect of operations and financial management for many firms across many industries; the latter offers managers and investors a risky opportunity to increase profit, which may not be properly disclosed to stakeholders",The latter offers managers and investors a risky opportunity to increase profit , The distinction is important,1,1.0
Derivative (finance),option products have immediate value at the outset **BECAUSE** they provide specified protection (intrinsic value) over a given time period (time value),products have time period value , products have intrinsic value,1,0.0
Derivative (finance)," however, there is still the risk that no wheat will be available **BECAUSE** of events unspecified by the contract, such as the weather, or that one party will renege on the contract",The contract is not fulfilled due to weather conditions , No wheat is available,1,1.0
Derivative (finance)," however, there is still the risk that no wheat will be available **BECAUSE** of events unspecified by the contract, such as the weather, or that one party will renege on the contract",The contract is not fulfilled due to weather conditions , The risk of no wheat being available,1,1.0
Derivative (finance)," however, there is still the risk that no wheat will be available **BECAUSE** of events unspecified by the contract, such as the weather, or that one party will renege on the contract",One party does not fulfill the contract , No wheat is available,1,0.0
Derivative (finance)," however, there is still the risk that no wheat will be available **BECAUSE** of events unspecified by the contract, such as the weather, or that one party will renege on the contract",One party does not fulfill the contract , The risk of no wheat being available,1,1.0
Derivative (finance)," however, there is still the risk that no wheat will be available **BECAUSE** of events unspecified by the contract, such as the weather, or that one party will renege on the contract",The contract is reneged , The risk of no wheat being available,1,1.0
Derivative (finance)," however, there is still the risk that no wheat will be available **BECAUSE** of events unspecified by the contract, such as the weather, or that one party will renege on the contract",The risk of the contract not being fulfilled , The risk of no wheat being available,1,0.0
Derivative (finance)," however, there is still the risk that no wheat will be available **BECAUSE** of events unspecified by the contract, such as the weather, or that one party will renege on the contract",The risk of one party not fulfilling the contract , The risk of no wheat being available,1,0.0
Derivative (finance),"the use of derivatives can result in large losses **BECAUSE** of the use of leverage, or borrowing",The use of leverage , The use of derivatives,1,0.0
Derivative (finance),"  however, both of them had delayed adoption of a number of derivatives regulations **BECAUSE** of the burden of other rulemaking, litigation and opposition to the rules, and many core definitions (such as the terms ""swap"", ""security-based swap"", ""swap dealer"", ""security-based swap dealer"", ""major swap participant"" and ""major security-based swap participant"") had still not been adopted",Many core definitions had still not been adopted , Both of them had delayed adoption of a number of derivatives regulations,1,0.0
Derivative (finance),"  sec chairman mary schapiro opined: ""at the end of the day, it probably does not make sense to harmonize everything [between the sec and cftc rules] **BECAUSE** some of these products are quite different and certainly the market structures are quite different",Some products are quite different , It probably does not make sense to harmonize everything between the SEC and CFTC rules,1,1.0
Derivative (finance),"  sec chairman mary schapiro opined: ""at the end of the day, it probably does not make sense to harmonize everything [between the sec and cftc rules] **BECAUSE** some of these products are quite different and certainly the market structures are quite different",Market structures are quite different , SEC Chairman Mary Schapiro opined,1,0.0
Derivative (finance),"  sec chairman mary schapiro opined: ""at the end of the day, it probably does not make sense to harmonize everything [between the sec and cftc rules] **BECAUSE** some of these products are quite different and certainly the market structures are quite different",Market structures are quite different , It probably does not make sense to harmonize everything between the SEC and CFTC rules,1,1.0
Derivative (finance),"  at the same time, they noted that ""complete harmonization – perfect alignment of rules across jurisdictions"" would be difficult, **BECAUSE** of jurisdictions' differences in law, policy, markets, implementation timing, and legislative and regulatory processes",differences in law , noted,1,0.0
Derivative (finance),"  at the same time, they noted that ""complete harmonization – perfect alignment of rules across jurisdictions"" would be difficult, **BECAUSE** of jurisdictions' differences in law, policy, markets, implementation timing, and legislative and regulatory processes",differences in law , difficult,1,1.0
Derivative (finance),"  at the same time, they noted that ""complete harmonization – perfect alignment of rules across jurisdictions"" would be difficult, **BECAUSE** of jurisdictions' differences in law, policy, markets, implementation timing, and legislative and regulatory processes",policy , difficult,1,1.0
Derivative (finance),"  at the same time, they noted that ""complete harmonization – perfect alignment of rules across jurisdictions"" would be difficult, **BECAUSE** of jurisdictions' differences in law, policy, markets, implementation timing, and legislative and regulatory processes",markets , noted,1,0.0
Derivative (finance),"  at the same time, they noted that ""complete harmonization – perfect alignment of rules across jurisdictions"" would be difficult, **BECAUSE** of jurisdictions' differences in law, policy, markets, implementation timing, and legislative and regulatory processes",markets , difficult,1,1.0
Derivative (finance),"  at the same time, they noted that ""complete harmonization – perfect alignment of rules across jurisdictions"" would be difficult, **BECAUSE** of jurisdictions' differences in law, policy, markets, implementation timing, and legislative and regulatory processes",implementation timing , noted,1,0.0
Derivative (finance),"  at the same time, they noted that ""complete harmonization – perfect alignment of rules across jurisdictions"" would be difficult, **BECAUSE** of jurisdictions' differences in law, policy, markets, implementation timing, and legislative and regulatory processes",implementation timing , difficult,1,1.0
Capital structure,"the pecking order theory has been popularized by myers (1984) when he argued that equity is a less preferred means to raise capital, **BECAUSE** when managers (who are assumed to know better about true condition of the firm than investors) issue new equity, investors believe that managers think the firm is overvalued, and managers are taking advantage of the assumed over-valuation",Managers issue new equity , Myers (1984) popularized the pecking order theory,1,0.0
Chartalism,"in macroeconomics, chartalism is a heterodox theory of money that argues that money originated historically with states' attempts to direct economic activity rather than as a spontaneous solution to the problems with barter or as a means with which to tokenize debt, and that fiat currency has value in exchange **BECAUSE** of sovereign power to levy taxes on economic activity payable in the currency they issue",Fiat currency has value in exchange **BECAUSE** of sovereign power to levy taxes on economic activity payable in the currency they issue , Money originated historically with states' attempts to direct economic activity,1,0.0
Mutualism (economic theory)," carson believes the term laissez-faire capitalism is an oxymoron **BECAUSE** capitalism, he argues, is an ""organization of society, incorporating elements of tax, usury, landlordism, and tariff, which ##THUS## denies the free market while pretending to exemplify it""","Carson argues that capitalism is an ""organization of society, incorporating elements of tax, usury, landlordism, and tariff, which ##THUS## denies the Free Market while pretending to exemplify it."" ", Carson believes the term laissez-faire capitalism is an oxymoron,1,1.0
Mutualism (economic theory),mutualists also argue that capitalists maintain ownership of their non-personal properties **BECAUSE** they support state violence by funding election campaigns,Capitalists support state violence by funding election campaigns , Mutualists argue that capitalists maintain ownership of their non-personal properties,1,1.0
Mutualism (economic theory),mutualists also argue that capitalists maintain ownership of their non-personal properties **BECAUSE** they support state violence by funding election campaigns,Election campaigns are funded by capitalists , Mutualists argue that capitalists maintain ownership of their non-personal properties,1,1.0
Mutualism (economic theory),mutualists also argue that capitalists maintain ownership of their non-personal properties **BECAUSE** they support state violence by funding election campaigns,Election campaigns are funded by capitalists , Mutualists support the idea that capitalists maintain ownership of their non-personal properties,1,1.0
Mutualism (economic theory),mutualists also argue that capitalists maintain ownership of their non-personal properties **BECAUSE** they support state violence by funding election campaigns,Election campaigns are funded by capitalists , The idea that capitalists maintain ownership of their non-personal properties is,1,1.0
Mutualism (economic theory),mutualists also argue that capitalists maintain ownership of their non-personal properties **BECAUSE** they support state violence by funding election campaigns,State violence is supported by capitalists , Mutualists argue that capitalists maintain ownership of their non-personal properties,1,1.0
Mutualism (economic theory),mutualists also argue that capitalists maintain ownership of their non-personal properties **BECAUSE** they support state violence by funding election campaigns,State violence is supported by capitalists , Mutualists support the idea that capitalists maintain ownership of their non-personal properties,1,0.0
Mutualism (economic theory),mutualists also argue that capitalists maintain ownership of their non-personal properties **BECAUSE** they support state violence by funding election campaigns,State violence is supported by capitalists , The idea that capitalists maintain ownership of their non-personal properties is,1,1.0
Minimum wage, this is **BECAUSE** labor markets are monopsonistic and workers persistently lack bargaining power,labor markets are monopsonistic , workers persistently lack bargaining power,1,0.0
Minimum wage," the authors argue that previous research that found no negative effects on hours worked are flawed **BECAUSE** they only look at select industries, or only look at teenagers, instead of entire economies",previous research only look at select industries , The authors argue that previous research that found no negative effects on hours worked are flawed,1,1.0
Minimum wage," the authors argue that previous research that found no negative effects on hours worked are flawed **BECAUSE** they only look at select industries, or only look at teenagers, instead of entire economies",previous research only look at teenagers , The authors argue that previous research that found no negative effects on hours worked are flawed,1,1.0
